Reference;DistributionStatus;wdDistributionStatusCountryCode;CountryOrigin;wdCountryOriginCountryCode;NotificationFrom;wdNotificationFromCountryCode;DateOfCase;LastUpdate;Classifications;ActionTaken;Product;ProductCategory;RiskDecision;HazardSubstance;HazardAnalyticalResult;HazardUnits;HazardSamplingDate;Subject.description,,,,,,,,
20.130.325;Austria;Q40;Slovakia;Q214;Austria;Q40;08/03/2013;18/04/2013;food  -  information for follow-up  -  official control on the market;return to consignor;chilled beef veal turkey kebab;meat and meat products (other than poultry);not serious;adulteration;horse DNA: 2.8;%;18/02/2013;adulteration (horse DNA: 2.8 %) of chilled beef veal turkey kebab from Germany, via Slovakia,,,,,,,
20.121.682;Austria;Q40;United Kingdom;Q145;Austria;Q40;06/12/2012;03/01/2013;food  -  information for follow-up  -  consumer complaint;informing authorities;yoghurt;milk and milk products;not serious;tampering;inserting needles;;26/11/2012;tampering (inserting needles) with yoghurt from the United Kingdom, via Germany,,,,,,,
2010.BTR;Belgium;Q31;Ghana;Q117;Belgium;Q31;19/10/2010;19/10/2010;food  -  border rejection  -  border control - consignment detained;destruction;Atlantic mackerel (Scomber scombrus);fish and fish products;undecided;illegal import;;;;illegal import of Atlantic mackerel (Scomber scombrus) from Ghana,,,,,,,,
2011.BXM;Belgium;Q31;France;Q142;Belgium;Q31;27/09/2011;11/10/2011;food  -  border rejection  -  border control - consignment detained;(obsolete);sprouted sugar beet seeds;fruits and vegetables;undecided;unauthorised import;;;;unauthorised import of sprouted sugar beet seeds from France, dispatched from Egypt,,,,,,,
20.130.332;Belgium;Q31;France;Q142;Belgium;Q31;08/03/2013;15/03/2013;food  -  information for follow-up  -  official control on the market;withdrawal from the market;lasagne bolognaise;prepared dishes and snacks;not serious;adulteration;horse DNA: > 1;%;22/02/2013;adulteration (horse DNA: > 1 %) of lasagne bolognaise from France,,,,,,,,
2011.BFK;Belgium;Q31;India;Q668;Belgium;Q31;31/05/2011;31/05/2017;food  -  border rejection  -  border control - consignment detained;(obsolete);guar gum;food additives and flavourings;undecided;absence of health certificate(s);;;;absence of health certificate(s) for guar gum from India,,,,,,,,
2009.BNA;Belgium;Q31;Turkey;Q43;Belgium;Q31;21/08/2009;12/01/2018;food  -  border rejection  -  border control - consignment detained;official detention;chopped roasted hazelnuts;nuts, nut products and seeds;undecided;improper health certificate(s);;;;improper health certificate(s) for chopped roasted hazelnuts from Turkey,,,,,,,
2007.AHM;Belgium;Q31;Germany;Q183;Belgium;Q31;01/02/2007;31/05/2017;feed  -  information  -  official control on the market;withdrawal from recipient(s);meat and bone meal;pet food;undecided;absence of health certificate(s);;;;Salmonella (presence /25g) in and absence of health certificate(s) for meat and bone meal from Germany,,,,,,,,
1987.02;Belgium;Q31;Italy;Q38;Belgium;Q31;23/01/1987;;Food  -  alert  -;;Wines;wine;undecided;monoethylene glycol (MEG);;;;monoethylene glycol (MEG) in Wines,,,,,,,,
2009.APL;Belgium;Q31;Turkey;Q43;Belgium;Q31;25/03/2009;12/01/2018;food  -  border rejection  -  border control - consignment detained;(obsolete);hazelnut paste;nuts, nut products and seeds;undecided;improper health certificate(s);signature does not match;;;improper health certificate(s) (signature does not match) for hazelnut paste from Turkey,,,,,,,
2011.CPJ;Belgium;Q31;Turkey;Q43;Belgium;Q31;08/12/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;(obsolete);hazelnut paste;nuts, nut products and seeds;undecided;improper health certificate(s);;;;absence of certified analytical report and improper health certificate(s) for hazelnut paste from Turkey,,,,,,,
2003.BMU;Belgium;Q31;Philippines;Q928;Belgium;Q31;06/08/2003;;Food  -  information  -  border control - consignment detained;official detention;shrimps (Solenocera spp.);wild caught crustaceans and products thereof - (obsolete);undecided;fraud;;;;fraud with shrimps (Solenocera spp.),,,,,,,,
2003.BNA;Belgium;Q31;Philippines;Q928;Belgium;Q31;06/08/2003;;Food  -  information  -  border control - consignment detained;official detention;shrimps (Solenocera spp.);wild caught crustaceans and products thereof - (obsolete);undecided;fraud;;;;fraud with shrimps (Solenocera spp.),,,,,,,,
2011.AKX;Belgium;Q31;Turkey;Q43;Belgium;Q31;22/02/2011;12/01/2018;food  -  border rejection  -  border control - consignment detained;(obsolete);pistachio nuts;nuts, nut products and seeds;undecided;improper health certificate(s);;;;improper health certificate(s) for pistachio nuts from Turkey,,,,,,,
